,Broad business,Recession alerts,Industrial Production,Manufacturing,Services,Small Business sentix,Consumption,Consumers sentiment,Labour general,Labour HH survey,Labour estabilishment survey,Housing activity,Retail sales,corporate sales & margins,"Income, savings",Interest rates,Rates sentiment,CPI,CPI sentiment,PPI finished goods,BS_housing wealth,BS_housing refinancing,BS_current asset / liabilities,Savings rate ,Fed liquidity
31/08/2003,66.32751938,64.89825581,51.19047619,70.05813953,67.02657807,63.30357143,75.7751938,59.80443975,49.04069767,50.72674419,43.35187058,74.27455357,77.91005291,63.28400282,45.79365079,60.14087657,37.00396825,36.01190476,54.76190476,47.35449735,77.73809524,73.0952381,58.13492063,27.5,76.19047619
30/09/2003,62.09753788,54.90056818,49.66085271,67.01388889,60.6737013,76.1627907,72.34848485,54.57128099,47.72727273,54.34253247,49.27124506,67.36918605,88.75968992,59.95179063,50.46511628,57.29895105,40.92377261,37.84453058,62.44588745,59.10852713,66.73126615,81.74418605,52.85852713,38.45930233,76.07973422
31/10/2003,63.58974359,54.44444444,61.90814394,67.00617284,73.92857143,67.07386364,65.74074074,64.5959596,59.25925926,60.67460317,51.24396135,61.84303977,88.13131313,60.37037037,61.43939394,55.10683761,46.24368687,37.75252525,74.97354497,48.23232323,72.10858586,75.34090909,49.0530303,44.43181818,67.69480519
30/11/2003,65.92809365,58.49184783,60.18518519,61.71497585,51.47515528,71.44444444,60.32608696,71.24505929,64.75543478,62.81055901,51.38232514,64.79166667,80.12345679,68.67588933,60.96296296,52.04849498,52.34567901,38.46707819,64.54451346,65.30864198,65.97530864,74.58730159,50.37037037,38.02222222,65.23809524
31/12/2003,66.85761047,58.97606383,71.19565217,69.29669031,56.30699088,74.45652174,61.17021277,79.61798839,72.7570922,64.79863222,53.3533765,65.55706522,80.9178744,66.31205674,65.43478261,56.04541735,65.51932367,35.38647343,65.60283688,58.33333333,51.37077295,74.73602484,57.01992754,41.56521739,58.85093168
31/01/2004,77.12339744,50.84635417,68.52836879,58.21759259,64.76934524,76.25,72.04861111,88.21022727,66.90104167,67.41071429,55.10643116,59.30851064,62.41134752,66.88762626,56.80851064,49.36899038,57.68321513,38.55397951,69.54365079,64.12529551,67.1749409,79.16413374,58.28900709,46.85106383,56.99088146
29/02/2004,65.7967033,46.68367347,66.03732639,51.81405896,59.51166181,73.09895833,59.86394558,63.3812616,64.85544218,64.7048105,55.82298137,51.82291667,76.73611111,63.04885591,61.45833333,46.60518053,46.49884259,42.93981481,66.6180758,65.74074074,62.87037037,70.05952381,50.08680556,31.66666667,41.28787879
31/03/2004,64.61538462,44.4375,70.91836735,54.38888889,59.07142857,54.43877551,72.33333333,67.18181818,62.875,70.66071429,62.42391304,56.87181122,67.34693878,68.03030303,59.65986395,47.60576923,53.1462585,44.49347306,75.19047619,54.76190476,61.09410431,68.49854227,49.02210884,32.37609329,30.14842301
30/04/2004,55.80693816,56.18872549,55.89583333,65.27777778,45.86834734,50.1,61.92810458,58.04367201,69.66503268,73.7219888,64.36487639,68.78125,84.44444444,69.84551396,65.26666667,63.40497738,37,43.72072072,78.24463119,56.55555556,59.23888889,66.42857143,33.125,29.01428571,45.81818182
31/05/2004,48.74260355,53.60576923,67.11601307,53.25854701,53.70879121,63.75,70.67307692,46.72202797,67.26762821,77.26648352,68.11245819,69.13296569,73.52941176,73.89277389,57.05882353,69.11057692,43.54575163,46.19325208,86.58424908,62.20043573,72.09694989,78.22128852,36.56045752,34.66386555,44.56327986
